months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_model,auto_year,fraud_reported,auto_make_1,auto_make_2,auto_make_3,auto_make_4,auto_make_5,auto_make_6,auto_make_7,auto_make_8,auto_make_9,auto_make_10,auto_make_11,auto_make_12,auto_make_13,incident_city_1,incident_city_2,incident_city_3,incident_city_4,incident_city_5,incident_city_6,auto_make,incident_city,fraud_rate
235,42,543610,2002-05-26,2,100/300,500,1253.12,4000000,462283,0,5,3,7,2,38400,0,2015-01-06,2,0,2,3,1,61,22,1,1,2,2,0,87010,7910,15820,63280,14,2002,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,3,0.42857142857142855
447,61,214618,1999-05-29,2,100/300,2000,1137.16,0,615561,0,2,3,16,2,0,-51000,2015-02-15,0,0,0,1,4,553,21,3,1,1,2,1,114920,17680,17680,79560,4,2006,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,6,0.3111111111111111
60,23,842643,1997-11-20,2,500/1000,500,1215.36,3000000,432220,1,4,10,15,5,0,0,2015-01-22,2,1,2,0,4,633,9,1,1,1,0,0,56520,4710,9420,42390,3,2000,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,10,3,0.0
121,34,626808,2012-10-26,2,100/300,1000,936.61,0,464652,0,4,1,3,5,52800,-32800,2015-01-08,1,1,1,3,4,622,5,1,0,1,1,0,7280,1120,1120,5040,18,2010,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,12,6,0.18446601941747573
180,38,644081,1998-12-28,2,250/500,2000,1301.13,0,476685,0,1,6,2,1,41300,-55500,2015-01-15,2,1,2,3,4,658,12,1,0,0,2,1,46200,4200,8400,33600,27,2003,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,6,0.25609756097560976
473,58,892874,1992-10-19,1,100/300,2000,1131.4,0,458733,0,4,13,12,2,55700,0,2015-01-29,0,2,0,2,6,953,12,4,1,0,0,0,63120,10520,10520,42080,23,1999,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,2,0.3111111111111111
70,26,558938,2005-06-08,2,500/1000,1000,1199.44,5000000,619884,1,1,6,10,3,63600,0,2015-02-22,0,1,0,2,1,459,0,3,0,1,2,1,52110,5790,5790,40530,26,2012,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,9,5,0.0
140,31,275265,2004-11-15,1,500/1000,500,708.64,6000000,470610,1,2,6,15,4,53500,0,2015-01-06,2,2,2,3,6,393,9,1,0,0,2,1,77880,14160,7080,56640,21,2015,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,11,3,0.0
160,37,921202,2014-12-28,2,500/1000,500,1374.22,0,472135,0,4,2,19,2,45500,-37800,2015-01-19,2,2,2,2,1,319,19,1,1,1,0,0,72930,6630,13260,53040,33,2015,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,4,0.25
196,39,143972,1992-08-02,1,500/1000,2000,1475.73,0,477670,0,2,5,4,3,57000,-27300,2015-02-22,0,2,0,3,5,803,8,3,0,2,0,0,60400,6040,6040,48320,29,2014,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,9,1,0.16666666666666666
460,62,183430,2002-06-25,1,250/500,1000,1187.96,4000000,618845,1,3,7,3,3,0,0,2015-01-01,0,1,1,3,1,486,20,3,0,1,0,0,47160,0,5240,41920,19,2011,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,11,1,0.5
217,41,431876,2005-11-27,0,500/1000,2000,875.15,0,442479,0,0,6,16,3,46700,0,2015-02-10,0,2,2,3,4,889,15,3,0,1,2,0,37840,0,4730,33110,31,1996,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0.16666666666666666
370,55,285496,1994-05-27,0,100/300,2000,972.18,0,443920,1,2,9,13,2,72700,-68200,2015-01-11,0,1,0,0,4,164,20,3,0,0,0,1,71520,17880,5960,47680,15,2000,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,11,2,0.3111111111111111
413,55,115399,1991-02-08,1,100/300,2000,1268.79,0,453148,1,4,8,5,3,0,-31000,2015-01-19,2,0,2,0,6,518,15,1,0,2,2,0,98160,8180,16360,73620,30,2011,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,3,0.3111111111111111
237,40,736882,1996-02-02,1,100/300,1000,883.31,0,434733,1,1,2,11,0,0,-53500,2015-02-24,2,1,1,2,5,162,6,1,0,1,3,0,77880,7080,14160,56640,13,2005,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5,5,0.18446601941747573
8,35,699044,2013-12-05,2,100/300,2000,1266.92,0,613982,1,5,11,14,3,0,0,2015-01-09,0,1,0,2,2,262,16,3,0,1,3,1,71500,16500,11000,44000,13,2006,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,1,0.3111111111111111
257,43,863236,1990-09-20,1,100/300,2000,1322.1,0,436984,1,2,9,9,3,0,-29200,2015-01-28,1,1,1,3,3,165,4,1,1,1,3,1,9020,1640,820,6560,9,2005,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12,1,0.3111111111111111
202,34,608513,2002-07-18,1,100/300,500,848.07,3000000,607730,1,3,3,5,1,31000,-30200,2015-01-07,3,1,1,3,5,307,5,1,1,2,1,0,5720,1040,520,4160,15,2003,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,11,4,0.5
224,40,914088,1990-02-08,2,100/300,2000,1291.7,0,609837,0,3,11,11,1,0,-55600,2015-01-08,2,2,1,2,4,244,21,1,0,1,0,1,69840,7760,15520,46560,27,2009,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,3,0.3111111111111111
241,45,596785,2014-03-04,0,500/1000,2000,1104.5,0,432211,0,6,6,1,4,0,0,2015-02-15,2,1,1,3,4,123,5,1,0,2,2,0,91650,14100,14100,63450,33,2011,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,4,0.16666666666666666
64,25,908616,2000-02-18,0,250/500,1000,954.16,0,473328,1,5,9,18,0,53200,0,2015-01-18,0,2,0,0,4,412,22,4,0,0,0,0,75600,12600,12600,50400,11,2005,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12,1,0.26881720430107525
166,37,666333,2008-06-19,0,100/300,2000,1337.28,8000000,610393,1,3,2,15,0,27500,0,2015-02-28,0,2,0,3,6,900,10,3,0,2,2,0,67140,7460,7460,52220,14,2006,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5,5,1.0
155,35,336614,2003-08-01,0,500/1000,1000,1088.34,0,614780,0,0,0,19,2,81100,0,2015-02-24,0,0,2,3,1,565,16,3,1,2,3,0,29790,3310,3310,23170,0,2008,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1,0.20224719101123595
114,30,584859,1992-04-04,0,100/300,1000,1558.29,0,472248,1,2,4,18,5,51400,-64000,2015-01-09,0,0,0,0,1,823,1,3,0,1,2,0,77110,14020,14020,49070,19,2015,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,11,2,0.18446601941747573
149,37,990493,1991-01-13,0,500/1000,500,1415.68,0,603381,1,6,9,19,3,0,0,2015-02-12,2,2,2,1,6,277,17,1,1,0,1,1,64800,10800,5400,48600,4,1999,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,2,0.25
147,33,129872,2010-08-08,2,100/300,1000,1334.15,6000000,479224,1,2,2,15,1,53300,-49200,2015-01-24,2,0,0,2,6,233,15,1,1,2,0,1,53100,10620,5310,37170,7,1995,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,8,6,0.18181818181818182
62,28,200152,2003-03-09,0,100/300,1000,988.45,0,430141,0,5,10,4,4,0,0,2015-01-09,2,1,2,3,1,445,3,1,0,1,1,1,60200,6020,6020,48160,15,2004,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,11,4,0.18446601941747573
289,49,933293,1993-02-03,0,500/1000,2000,1222.48,0,620757,0,3,8,9,4,0,0,2015-01-18,1,1,1,3,6,637,16,1,0,1,1,1,5330,1230,820,3280,21,2001,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11,1,0.16666666666666666
431,54,485664,2002-11-25,1,500/1000,2000,1155.55,0,615901,0,4,2,3,4,65700,0,2015-01-21,0,1,0,3,1,332,4,3,0,2,0,0,62300,12460,6230,43610,36,2007,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,7,2,0.16666666666666666
199,37,982871,1997-07-27,1,250/500,500,1262.08,0,474615,1,3,12,18,5,48500,0,2015-01-08,2,0,0,0,0,264,4,1,0,0,3,0,60170,10940,10940,38290,29,2011,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,9,1,0.24489795918367346
79,26,206213,1995-05-08,0,100/300,500,1451.62,0,456446,1,0,12,11,1,0,-55700,2015-01-03,2,1,1,0,6,427,19,1,0,2,2,0,40000,8000,4000,28000,22,2010,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,1,0.21978021978021978
116,34,616337,2012-08-30,1,250/500,500,1737.66,0,470577,1,0,13,5,4,0,-24100,2015-01-01,2,2,0,3,6,520,1,1,0,1,1,0,97080,16180,16180,64720,37,2001,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,4,0.24489795918367346
37,23,448961,2006-04-30,0,500/1000,500,1475.93,0,441648,0,1,9,10,0,0,-67400,2015-01-16,0,2,1,2,4,245,17,3,1,1,0,0,51660,5740,5740,40180,30,2010,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,6,0.25
106,30,790442,2003-04-13,2,250/500,500,538.17,0,433782,0,6,13,15,3,49700,-60200,2015-02-10,2,1,2,2,0,635,23,1,0,2,2,0,51120,5680,5680,39760,12,2005,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8,1,0.24489795918367346
269,44,108844,2007-12-05,0,100/300,2000,1081.08,0,468104,1,3,8,15,4,36400,-28700,2015-02-14,2,0,1,2,4,78,14,1,1,0,2,0,56400,11280,11280,33840,18,2014,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,12,6,0.3111111111111111
265,40,430029,2006-08-21,0,250/500,1000,1454.43,0,459407,0,4,10,19,0,0,0,2015-02-21,0,1,2,2,1,360,17,3,0,2,3,0,55120,6890,0,48230,23,2002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0.26881720430107525
163,33,529112,1990-01-08,1,100/300,500,1240.47,0,472573,0,0,7,14,0,35300,0,2015-02-18,0,1,2,1,0,720,11,3,1,1,1,0,77110,0,14020,63090,10,2014,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,6,3,0.21978021978021978
355,47,939631,1990-03-18,2,500/1000,2000,1273.7,4000000,433473,1,1,7,11,0,0,0,2015-01-10,0,0,0,1,6,879,19,3,0,2,1,0,62800,6280,6280,50240,4,2003,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0.5
175,34,866931,2008-01-07,1,500/1000,1000,1123.87,8000000,446326,0,6,10,7,2,0,0,2015-02-26,3,1,3,3,1,630,5,1,0,2,0,1,7290,810,810,5670,28,1995,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,13,1,0.0
192,35,582011,1997-03-10,0,100/300,1000,1245.89,0,435481,0,5,3,12,5,0,-40300,2015-01-01,2,1,2,2,6,557,19,1,0,0,0,0,76600,15320,7660,53620,7,2000,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,8,6,0.18446601941747573
430,59,691189,2004-01-10,2,250/500,2000,1326.62,7000000,477310,1,4,7,3,3,0,0,2015-01-03,0,0,1,1,1,461,19,3,0,0,3,1,81800,16360,8180,57260,29,1998,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,9,5,0.0
91,27,537546,1994-08-20,0,100/300,2000,1073.83,0,609930,0,3,4,14,0,0,0,2015-01-17,3,1,3,3,1,139,4,1,0,1,2,0,7260,1320,660,5280,22,2008,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1,0.3111111111111111
217,39,394975,2002-06-02,1,100/300,1000,1530.52,0,603993,1,1,1,1,1,0,0,2015-02-22,3,1,1,3,6,172,8,1,0,2,1,1,4300,430,430,3440,11,2000,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,12,3,0.18446601941747573
223,40,729634,1994-04-28,1,100/300,500,1201.41,0,437818,0,3,8,12,0,88400,-46500,2015-01-27,0,2,0,3,0,719,7,3,1,1,0,0,70510,12820,12820,44870,15,1999,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,11,1,0.21978021978021978
195,39,282195,2014-08-17,2,250/500,1000,1393.57,0,478423,1,6,6,12,1,47600,-39600,2015-02-27,1,1,1,3,5,536,5,1,0,0,1,1,2640,480,480,1680,14,2009,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,3,0.26881720430107525
22,26,420810,2007-08-11,2,100/300,1000,1276.57,0,467784,1,6,2,16,1,71500,0,2015-01-06,2,1,1,1,1,646,3,1,1,1,2,0,78900,15780,7890,55230,32,1995,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0.18446601941747573
439,56,524836,2008-11-20,1,250/500,500,1082.49,0,606714,0,6,9,5,4,36100,-55000,2015-02-28,0,0,0,1,4,428,12,3,0,2,3,0,56430,0,6270,50160,8,2014,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,6,1,0.24489795918367346
94,32,307195,1995-10-18,1,500/1000,1000,1414.74,0,464691,0,5,0,10,3,0,0,2015-02-22,1,1,1,3,5,488,19,1,0,1,3,0,2400,300,300,1800,32,2014,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,5,0.20224719101123595
11,39,623648,1993-05-19,0,250/500,2000,1470.06,0,431683,1,6,7,19,0,56600,-45800,2015-01-07,2,0,2,0,6,370,22,1,1,0,1,0,65790,7310,7310,51170,2,2007,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,10,5,0.25609756097560976
151,36,485372,2005-02-26,2,250/500,2000,870.63,0,431725,0,4,0,11,3,94800,-58500,2015-01-06,0,2,1,3,5,143,12,3,0,1,1,0,62920,11440,5720,45760,13,2000,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5,2,0.25609756097560976
154,34,598554,1990-02-14,1,100/300,500,795.23,0,609216,1,6,6,0,2,36900,0,2015-01-10,0,1,0,3,1,629,15,3,1,2,1,0,69480,15440,0,54040,26,2014,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,9,6,0.21978021978021978
245,44,303987,1993-09-30,0,500/1000,1000,1168.2,0,452787,1,3,5,1,0,69100,0,2015-02-11,0,2,2,2,2,717,23,3,0,0,3,0,44280,7380,3690,33210,6,1997,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,6,6,0.20224719101123595
119,32,343161,2014-06-10,0,500/1000,1000,993.51,0,468767,1,2,1,3,4,0,-49500,2015-01-12,2,2,1,2,6,281,12,1,0,0,3,1,56300,5630,11260,39410,22,2011,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,2,0.20224719101123595
215,42,519312,2008-10-28,2,500/1000,500,1848.81,0,435489,1,3,13,18,3,0,-49000,2015-02-06,0,0,0,1,6,157,20,3,1,2,2,1,68520,11420,5710,51390,21,2003,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,11,3,0.25
295,42,132902,2007-04-24,2,250/500,2000,1641.73,5000000,450149,1,6,11,5,1,62400,0,2015-01-20,0,1,2,1,5,22,16,3,0,0,0,0,59130,6570,6570,45990,13,2006,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5,5,0.5714285714285714
254,39,332867,1993-12-13,1,100/300,500,1362.87,0,458364,0,4,3,5,2,35700,0,2015-02-22,0,0,1,0,1,16,6,3,1,2,2,0,82320,13720,6860,61740,27,1995,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,0.21978021978021978
107,31,356590,2011-08-17,1,250/500,500,1239.22,7000000,476458,0,2,12,13,1,43400,-91200,2015-01-30,2,2,1,1,4,918,12,1,1,0,1,0,89700,13800,13800,62100,5,2009,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,6,0.3333333333333333
478,64,346002,1990-08-20,2,250/500,500,835.02,0,602433,0,0,0,15,4,59600,0,2015-02-02,0,2,1,1,6,838,17,3,0,1,1,0,33930,0,3770,30160,38,1998,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,2,0.24489795918367346
128,30,500533,1994-02-11,2,100/300,1000,1061.33,0,478575,1,4,6,12,3,43300,-66200,2015-01-10,2,0,0,0,6,530,8,1,0,0,3,0,68530,12460,6230,49840,5,1997,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,4,0.18446601941747573
338,49,348209,1994-02-22,1,500/1000,1000,1279.08,0,449718,1,4,7,11,3,0,-51500,2015-02-27,1,1,1,3,0,758,13,1,0,0,1,0,4300,860,860,2580,14,2004,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5,5,0.20224719101123595
271,42,486676,2011-08-15,2,100/300,500,1105.49,0,463181,0,0,9,17,3,56200,-50000,2015-02-20,0,2,0,2,4,791,12,2,0,2,3,0,68310,12420,6210,49680,4,2003,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,2,0.21978021978021978
222,41,260845,1998-11-11,2,100/300,2000,1055.53,0,441992,0,4,1,6,1,37800,-50300,2015-02-08,2,0,2,2,6,653,7,1,0,0,2,0,61290,6810,6810,47670,10,1995,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,6,4,0.3111111111111111
199,41,657045,1995-12-04,2,250/500,1000,895.83,0,452597,0,0,11,13,0,0,0,2015-02-11,2,1,1,0,0,148,10,1,0,1,2,0,30100,3010,0,27090,25,1999,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0.26881720430107525
215,37,761189,2002-12-28,1,100/300,500,1632.93,0,614417,0,1,13,9,1,0,-42900,2015-02-23,0,1,1,1,4,784,7,3,0,2,0,1,57120,9520,4760,42840,7,2002,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,8,5,0.21978021978021978
192,40,175177,2004-04-15,0,100/300,1000,1405.99,0,472895,0,0,11,19,5,0,0,2015-03-01,0,2,1,0,5,419,18,3,1,1,0,1,42930,9540,4770,28620,38,2005,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,6,0.18446601941747573
120,35,116700,2001-02-02,2,100/300,1000,1425.54,0,475847,0,2,13,3,2,78300,0,2015-01-15,0,0,2,0,4,454,22,3,0,2,0,0,51210,11380,5690,34140,16,2010,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5,5,0.18446601941747573
270,45,166264,2010-01-12,2,500/1000,1000,1038.09,0,476978,0,1,5,9,0,0,-19700,2015-01-14,0,0,1,1,1,120,18,3,0,1,1,1,89400,14900,7450,67050,21,1998,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,11,6,0.20224719101123595
319,47,527945,1992-04-14,1,250/500,500,1307.11,0,600648,1,1,13,7,1,0,0,2015-02-17,0,0,2,3,6,191,22,3,0,0,2,0,59730,10860,10860,38010,4,2005,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,4,0.24489795918367346
194,39,627540,2010-05-21,2,500/1000,1000,1489.24,6000000,608335,0,3,7,11,5,0,-45000,2015-01-24,3,1,1,3,4,780,15,1,1,2,2,1,8060,1240,1240,5580,3,2004,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,10,6,0.0
227,38,279422,2013-10-27,2,500/1000,500,976.67,0,471600,0,6,5,14,4,0,0,2015-01-21,2,1,0,1,4,617,16,1,0,1,2,0,72200,14440,7220,50540,22,2013,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,4,0.25
137,31,484200,1994-10-12,2,250/500,2000,1340.43,0,441175,1,2,3,13,0,52700,-40600,2015-02-19,0,2,1,0,0,225,6,3,0,1,2,0,50800,10160,10160,30480,23,2005,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0.25609756097560976
244,40,645258,1997-07-04,2,500/1000,2000,1267.81,5000000,603123,0,5,3,18,5,0,0,2015-01-03,3,1,3,3,0,681,10,1,0,2,1,0,6600,660,1320,4620,33,2005,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,4,0.25
78,29,694662,2011-02-15,0,250/500,1000,1234.2,6000000,457767,1,5,7,3,2,0,0,2015-01-29,3,1,1,3,1,462,3,1,1,2,2,0,7500,750,1500,5250,26,2002,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,9,4,0.14285714285714285
200,35,960680,1994-08-21,1,250/500,2000,1318.06,0,618498,1,2,3,18,5,57300,-80600,2015-01-19,3,1,3,3,5,149,13,1,0,0,3,1,6490,1180,1180,4130,20,2002,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,13,2,0.25609756097560976
284,48,498140,1997-05-15,1,500/1000,2000,769.95,0,605486,1,5,9,12,1,0,-44200,2015-01-19,0,2,0,0,1,0,16,2,0,2,3,0,60940,5540,11080,44320,4,2013,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,2,0.16666666666666666
275,41,498875,1996-10-26,2,100/300,2000,1514.72,0,617970,1,2,13,2,3,35700,0,2015-02-02,0,0,0,1,1,721,13,3,1,0,1,0,58300,5830,11660,40810,21,2007,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,11,4,0.3111111111111111
153,34,798177,2006-03-04,0,500/1000,1000,873.64,4000000,432934,0,0,8,19,0,800,0,2015-01-30,0,0,1,2,4,948,9,3,0,2,1,0,68400,11400,11400,45600,14,2007,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5,1,0.2
134,32,614763,1991-01-02,0,500/1000,500,1612.43,0,456762,0,4,7,19,3,36400,0,2015-01-08,2,2,2,1,5,122,2,1,0,2,1,1,64240,11680,11680,40880,0,2015,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,6,0.25
31,36,679370,1999-08-15,0,500/1000,2000,1318.24,9000000,601748,0,1,9,11,1,0,-78600,2015-01-30,1,1,3,3,6,503,9,1,0,0,1,1,4700,940,470,3290,27,2002,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,0.0
